40	900	12	18	D	0.9926002237892244
40	943	12	18	D	0.9926002237892244
40	1229	12	18	D	0.9926002237892244
40	1273	12	18	D	0.9926002237892244
40	1318	12	18	D	0.9926002237892244
52	878	12	18	B	0.9926002237892244
52	1335	12	18	B	0.9926002237892244
64	804	12	18	G	0.9926002237892244
64	957	12	18	G	0.9926002237892244
64	1359	12	18	G	0.9926002237892244
76	532	12	18	F	0.9926002237892244
76	783	12	18	F	0.9926002237892244
76	979	12	18	F	0.9926002237892244
88	331	12	18	D	0.9926002237892244
88	655	12	18	D	0.9926002237892244
88	750	12	18	D	0.9926002237892244
88	999	12	18	D	0.9926002237892244
88	1126	12	18	D	0.9926002237892244
88	1373	12	18	D	0.9926002237892244
100	1104	12	18	B	0.9926002237892244
112	1083	12	18	F	0.9926002237892244
124	589	12	18	D	0.9926002237892244
124	748	12	18	D	0.9926002237892244
136	41	12	18	B	0.9926002237892244
186	507	12	18	F	0.9926002237892244
214	564	12	18	A	0.9926002237892244
238	265	12	18	D	0.9926002237892244
251	382	12	18	B	0.9926002237892244
268	266	12	18	F	0.9926002237892244
281	45	12	18	D	0.9926002237892244
281	152	12	18	D	0.9926002237892244
281	207	12	18	D	0.9926002237892244
293	209	12	18	B	0.9926002237892244
293	442	12	18	B	0.9926002237892244
150	650	36	16	quarter_rest	0.029093454835201406
62	9	30	18	eighth_rest	0.11789133394500972
161	429	30	18	eighth_rest	0.11789133394500972
233	591	30	18	eighth_rest	0.11789133394500972
276	405	30	18	eighth_rest	0.11789133394500972
325	451	30	18	eighth_rest	0.11789133394500972
